TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Oct 9, 2020",132.85,136.85,131.3,136.0,849739
"Oct 8, 2020",130.9,132.9,129.1,132.17,375319
"Oct 7, 2020",131.74,132.0,128.5,130.45,523146
"Oct 6, 2020",130.0,130.9,126.6,129.01,387174
"Oct 5, 2020",131.88,131.88,128.0,129.61,514826
"Oct 2, 2020",133.0,134.5,130.5,131.04,479944
"Oct 1, 2020",130.0,134.34,130.0,132.57,682516
"Sep 30, 2020",131.9,132.1,129.02,130.74,818892
"Sep 29, 2020",127.84,131.72,125.25,130.25,445919
"Sep 28, 2020",133.44,134.0,127.32,129.05,807471
"Sep 25, 2020",132.0,134.4,130.71,133.81,546930
"Sep 24, 2020",132.99,132.99,130.6,131.98,641821
"Sep 23, 2020",130.5,133.31,130.5,131.67,287716
"Sep 22, 2020",131.99,132.4,130.8,131.32,508364
"Sep 21, 2020",134.49,134.49,132.51,132.97,231696
"Sep 18, 2020",134.0,135.0,132.5,134.22,1110632
"Sep 17, 2020",134.89,134.9,133.1,133.76,608454
"Sep 16, 2020",135.13,135.85,133.15,133.78,547283
"Sep 15, 2020",136.0,137.5,135.1,135.49,390990
"Sep 14, 2020",136.0,137.02,135.26,136.7,436151
"Sep 11, 2020",135.51,138.5,134.5,135.7,3078582
"Sep 10, 2020",133.9,137.15,133.5,135.0,1344579
"Sep 9, 2020",130.75,134.6,129.52,133.05,1045912
"Sep 8, 2020",132.49,133.49,130.2,130.83,1330444
"Sep 7, 2020",133.05,134.4,131.75,132.51,1684821
"Sep 4, 2020",133.78,134.44,132.11,133.32,702762
"Sep 3, 2020",134.31,136.88,133.03,133.72,1041058
"Sep 2, 2020",133.6,136.0,132.51,133.41,939520
"Sep 1, 2020",135.0,135.0,131.0,132.69,1785320
"Aug 31, 2020",135.55,137.5,133.25,134.46,1906037
"Aug 28, 2020",136.0,136.7,134.5,135.22,184341
"Aug 27, 2020",135.49,138.2,134.6,135.69,1657292
"Aug 26, 2020",128.45,135.6,127.25,134.65,2815112
"Aug 25, 2020",126.25,127.99,124.55,127.17,1204601
"Aug 24, 2020",124.0,126.15,123.5,125.1,438253
"Aug 21, 2020",123.89,125.2,122.12,124.27,445630
"Aug 20, 2020",122.5,124.1,121.9,123.52,882970
"Aug 19, 2020",122.99,123.9,122.0,122.36,371392
"Aug 18, 2020",124.99,125.48,122.0,122.49,1086619
"Aug 17, 2020",128.0,128.0,123.01,124.02,925821
"Aug 13, 2020",129.75,129.75,127.5,127.78,336029
"Aug 12, 2020",130.11,130.98,128.5,129.2,847548
"Aug 11, 2020",126.0,130.5,126.0,129.0,1530654
"Aug 10, 2020",128.99,129.0,125.02,127.21,585662
"Aug 7, 2020",129.98,129.98,126.5,127.32,1576523
"Aug 6, 2020",130.95,132.0,127.52,129.34,1725971
"Aug 5, 2020",128.7,130.99,128.1,128.7,1199645
"Aug 4, 2020",127.9,133.5,127.05,128.02,3657284
"Aug 3, 2020",122.53,129.48,121.0,127.53,2711884
"Jul 30, 2020",121.95,123.0,120.61,122.53,715589
"Jul 29, 2020",124.68,124.7,120.26,121.19,1447005
"Jul 28, 2020",122.8,125.35,122.05,123.32,2138733
"Jul 27, 2020",118.0,122.8,116.5,122.01,3882172
"Jul 24, 2020",110.7,119.43,108.6,116.07,8339975
"Jul 23, 2020",112.0,114.01,110.5,111.1,2556680
"Jul 22, 2020",110.51,112.0,108.5,111.04,2710415
"Jul 21, 2020",109.0,110.98,108.81,110.2,3830079
"Jul 20, 2020",109.0,110.9,108.01,108.74,1795399
"Jul 17, 2020",109.79,110.3,108.0,108.29,931591
"Jul 16, 2020",109.0,109.41,107.15,109.12,1303823
"Jul 15, 2020",107.87,107.88,106.1,107.15,588978
"Jul 14, 2020",107.6,108.5,106.5,107.19,1079894
"Jul 13, 2020",108.0,109.5,106.46,106.75,3169809
"Jul 10, 2020",106.65,107.78,105.02,106.49,1030766
"Jul 9, 2020",104.97,107.0,104.6,106.77,2415828
"Jul 8, 2020",98.6,103.9,98.6,103.35,6312584
"Jul 7, 2020",98.5,99.8,98.1,98.74,2039298
"Jul 6, 2020",98.5,99.0,97.25,98.24,530812
"Jul 3, 2020",97.25,98.4,97.02,97.84,531752
"Jul 2, 2020",96.88,98.1,96.02,97.02,2515270
"Jul 1, 2020",96.8,96.9,95.8,96.22,876566
"Jun 30, 2020",96.1,98.0,95.74,96.87,4182603
"Jun 29, 2020",96.0,96.59,95.26,95.86,1154798
"Jun 26, 2020",97.0,97.49,95.5,96.03,771462
"Jun 25, 2020",98.25,98.25,96.5,97.13,653603
"Jun 24, 2020",98.98,99.5,97.75,97.94,524210
"Jun 23, 2020",99.0,100.0,98.25,98.92,700348
"Jun 22, 2020",99.0,99.25,97.0,98.78,825369
"Jun 19, 2020",100.0,100.0,97.5,98.75,421512
"Jun 18, 2020",99.71,99.95,98.75,99.42,504700
"Jun 17, 2020",100.5,101.75,97.5,98.56,3118675
"Jun 16, 2020",98.26,100.5,98.26,99.45,418642
"Jun 15, 2020",101.0,101.0,98.25,98.85,1078744
"Jun 12, 2020",102.5,102.5,100.11,100.65,1705182
"Jun 11, 2020",105.0,105.52,103.25,103.53,2211304
"Jun 10, 2020",101.99,105.68,100.85,104.99,3483159
"Jun 9, 2020",102.0,103.0,100.61,102.12,5320915
"Jun 8, 2020",100.36,102.7,99.21,101.48,2246527
"Jun 5, 2020",100.0,100.94,99.55,100.36,483742
"Jun 4, 2020",100.69,101.0,99.35,100.0,1805623
"Jun 3, 2020",102.5,103.7,100.15,100.69,3335089
"Jun 2, 2020",98.0,103.25,97.61,101.81,5783412
"Jun 1, 2020",96.61,98.88,96.01,97.99,1715357
"May 29, 2020",96.99,98.0,95.25,96.32,2144182
"May 28, 2020",97.01,97.5,95.01,95.76,1094228
"May 21, 2020",98.37,98.37,97.0,97.3,610771
"May 20, 2020",98.65,98.65,97.21,97.51,527046
"May 19, 2020",96.51,99.74,96.5,98.66,1438689
"May 18, 2020",98.01,98.01,96.11,97.31,845984
"May 15, 2020",97.01,99.0,97.0,98.01,855391
